2020-05-10 15:15:45.987 sszserver [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: saveUsingPOST_6
2020-05-10 15:15:45.988 sszserver [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: saveUsingPUT_6
2020-05-10 15:15:45.993 sszserver [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: delUsingDELETE_8
2020-05-10 15:15:45.994 sszserver [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getUsingGET_2
2020-05-10 15:15:46.002 sszserver [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: saveUsingPOST_7
2020-05-10 15:15:46.003 sszserver [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: saveUsingPUT_7
2020-05-10 15:15:46.008 sszserver [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: delUsingDELETE_9
2020-05-10 15:15:46.009 sszserver [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: getRegionUsingGET_1
2020-05-10 15:15:46.011 sszserver [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: saveUsingPOST_8
2020-05-10 15:15:46.012 sszserver [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: saveUsingPUT_8
2020-05-10 15:15:46.015 sszserver [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: saveUsingPOST_9
2020-05-10 15:15:46.015 sszserver [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: saveUsingPUT_9
2020-05-10 15:15:46.016 sszserver [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: yearsUsingGET_1
2020-05-10 15:15:46.022 sszserver [main] INFO  s.d.s.w.r.operation.CachingOperationNameGenerator - Generating unique operation named: yearsUsingGET_2
2020-05-10 15:15:46.047 sszserver [main] INFO  o.e.j.server.handler.ContextHandler.application - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-05-10 15:15:46.047 sszserver [main] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-05-10 15:15:46.054 sszserver [main] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 7 ms
2020-05-10 15:15:46.086 sszserver [main] INFO  org.eclipse.jetty.server.AbstractConnector - Started ServerConnector@24a4e2c5{HTTP/1.1, (http/1.1)}{0.0.0.0:8081}
2020-05-10 15:15:46.089 sszserver [main] INFO  o.s.boot.web.embedded.jetty.JettyWebServer - Jetty started on port(s) 8081 (http/1.1) with context path '/olisserver'
2020-05-10 15:15:46.090 sszserver [main] INFO  com.hello.adminservice.AdminserviceApplication - Started AdminserviceApplication in 30.425 seconds (JVM running for 32.108)
2020-05-10 15:52:40.235 sszserver [main] INFO  com.hello.adminservice.AdminserviceApplication - Starting AdminserviceApplication on LAPTOP-LMRC2QMU with PID 17420 (D:\work\java\oils项目\source\microolisserver\adminservice\target\classes started by Hello_Earth in D:\work\java\oils项目\source\microolisserver)
2020-05-10 15:52:40.237 sszserver [main] INFO  com.hello.adminservice.AdminserviceApplication - The following profiles are active: local
2020-05-10 15:52:41.205 sszserver [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-10 15:52:41.206 sszserver [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFAULT mode.
2020-05-10 15:52:41.424 sszserver [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 209ms. Found 22 JPA repository interfaces.
2020-05-10 15:52:41.445 sszserver [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-05-10 15:52:41.446 sszserver [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
